time,1m,6m,1y,1.5y,2y,2.5y,3y,3.5y,4y,4.5y,5y,5.5y,6y,6.5y,7y,7.5y,8y,8.5y,9y,9.5y,10y,10.5y,11y,11.5y,12y,12.5y,13y,13.5y,14y,14.5y,15y,15.5y,16y,16.5y,17y,17.5y,18y,18.5y,19y,19.5y,20y,20.5y,21y,21.5y,22y,22.5y,23y,23.5y,24y,24.5y,25y
01/01/2015,0.057733554,0.064381907,0.067142235,0.066511934,0.064990705,0.063254908,0.061534061,0.059925418,0.058443589,0.057057807,0.05572294,0.054392736,0.053031752,0.051618418,0.050146003,0.048619644,0.047055411,0.045474988,0.043902473,0.042359593,0.040865403,0.039436967,0.03808713,0.036828107,0.03567213,0.034632198,0.033720563,0.03294556,0.032314391,0.031828218,0.031481339,0.031267679,0.031181145,0.031212891,0.031348337,0.031572179,0.031870373,0.032234068,0.032655752,0.033127917,0.033643051,0.034193644,0.034772186,0.035371183,0.03598512,0.036612375,0.037251781,0.037902167,0.038562366,0.039231208,0.039907525
02/01/2015,0.057680019,0.064506073,0.067501782,0.066841714,0.065423384,0.063852326,0.062301421,0.06084619,0.059490294,0.058198483,0.056924431,0.055622612,0.054259334,0.052815295,0.051286202,0.049679784,0.048015008,0.046316765,0.0446126,0.04292798,0.04128602,0.039707799,0.038210113,0.036808942,0.035519725,0.034358098,0.033338488,0.032470421,0.031762033,0.03121463,0.030821854,0.030576943,0.030473114,0.030500645,0.030643776,0.030886005,0.031212171,0.031612572,0.032078897,0.032602831,0.03317606,0.033790271,0.034437151,0.035108404,0.035797906,0.036503733,0.037224442,0.03795859,0.038704733,0.039461429,0.040227233
03/01/2015,0.057757727,0.064409769,0.067353654,0.066845206,0.065577409,0.064108839,0.062610857,0.06116426,0.059781746,0.058437963,0.057096681,0.055722124,0.054289067,0.05278456,0.051207792,0.049567302,0.047879545,0.04616598,0.044451446,0.042759163,0.04111042,0.039524621,0.038017226,0.036602999,0.03529638,0.034112378,0.03306499,0.032163722,0.031416804,0.030825813,0.030384974,0.030088131,0.029929107,0.029898819,0.029982307,0.030163896,0.030429164,0.030768678,0.031174254,0.031637709,0.032150859,0.032705521,0.03329351,0.033906662,0.034538941,0.035188368,0.035853422,0.036532579,0.037224316,0.037927112,0.038639443
04/01/2015,0.057430488,0.064103304,0.066941778,0.066215253,0.064904335,0.063461976,0.062006298,0.060601202,0.059252396,0.057933047,0.056607694,0.05524238,0.053814031,0.052311691,0.050736041,0.049096905,0.04741119,0.045700334,0.04398861,0.042298258,0.040649349,0.039059982,0.037544324,0.036115937,0.034788318,0.0335759,0.032492292,0.031547092,0.03074878,0.030099662,0.029595502,0.029231755,0.029003848,0.028904392,0.02892054,0.029038825,0.029246674,0.029534934,0.029895265,0.030319328,0.030798782,0.031325288,0.031890507,0.032486119,0.033105914,0.033747523,0.034408983,0.035088332,0.035783609,0.036492852,0.037214099
05/01/2015,0.057411888,0.06397821,0.06635751,0.065501744,0.064167994,0.062721762,0.061261863,0.059848572,0.058488312,0.057156611,0.055820348,0.054447856,0.053018122,0.051521525,0.04995914,0.048340371,0.046681025,0.045000882,0.043322182,0.041664938,0.04004686,0.038483784,0.036987881,0.035570972,0.034245393,0.033024877,0.031922746,0.030949405,0.030114391,0.029421318,0.028867615,0.028450422,0.028166853,0.028011231,0.027972554,0.028039222,0.028200208,0.028446626,0.028770092,0.029162223,0.029614637,0.030118948,0.030666774,0.031249754,0.031861535,0.032499381,0.033160927,0.033843812,0.034545673,0.035264149,0.035996876
06/01/2015,0.057214067,0.064522505,0.066951113,0.066215499,0.064972581,0.063596109,0.062196532,0.060834664,0.059514371,0.058207649,0.056879189,0.055496257,0.054037912,0.052495409,0.050871147,0.049176061,0.047427695,0.045647711,0.04386032,0.042087616,0.040349527,0.038664164,0.037046124,0.035509688,0.034069622,0.032741869,0.031541723,0.030481072,0.029570803,0.02881512,0.028211344,0.027756484,0.027447517,0.027278282,0.027236717,0.02731011,0.027486391,0.027755865,0.028109379,0.028537783,0.029031927,0.029582658,0.030180827,0.030817307,0.031485192,0.032181502,0.03290366,0.033649088,0.034415208,0.035199442,0.035999213
07/01/2015,0.057355428,0.064671551,0.066998971,0.06637695,0.065249189,0.063964575,0.06263635,0.061328091,0.060047049,0.058768283,0.057460052,0.056094068,0.054654564,0.053137707,0.051550162,0.049906363,0.048226129,0.046531869,0.044847123,0.043191988,0.041583324,0.040035683,0.038559244,0.037163745,0.035859388,0.034657852,0.0335707,0.032607602,0.031777602,0.03108423,0.030525424,0.030098874,0.029802239,0.029630403,0.029573107,0.029619534,0.029759348,0.029983947,0.030285121,0.030654661,0.031084359,0.031566004,0.032091389,0.032652327,0.033242609,0.033859474,0.034500507,0.03516329,0.03584541,0.036544449,0.037257992
08/01/2015,0.056792809,0.064463939,0.066609439,0.065886573,0.064674924,0.063299713,0.06187364,0.060465276,0.059088866,0.057725956,0.056349398,0.054934368,0.053467472,0.051946096,0.050376945,0.048773461,0.047153522,0.045536782,0.043943381,0.04238972,0.040888803,0.039451441,0.038084372,0.03679412,0.035588171,0.034475864,0.033466752,0.032569345,0.03179173,0.031137174,0.030604125,0.030190822,0.029895478,0.029713717,0.029636453,0.029654096,0.029757446,0.029938681,0.030190286,0.030504749,0.030874555,0.031292192,0.031750144,0.032240921,0.032758852,0.033301389,0.033866296,0.034451334,0.035054265,0.035672851,0.036304854
09/01/2015,0.056572257,0.064367612,0.066725759,0.066078595,0.064904134,0.063571749,0.062203031,0.060862658,0.059558228,0.058264561,0.056949103,0.055583041,0.054150525,0.052647862,0.051081732,0.04946641,0.047821235,0.046167705,0.044527937,0.042920251,0.041359641,0.039858776,0.038426148,0.037069991,0.035799324,0.034624816,0.03355717,0.032605754,0.031779432,0.031081839,0.030511603,0.030067149,0.02974687,0.029546336,0.029456196,0.029466606,0.029568092,0.029752433,0.030011681,0.030337881,0.030723084,0.031159338,0.031638691,0.032153219,0.032696969,0.033267224,0.033861567,0.034477582,0.035112855,0.035764968,0.036431506
10/01/2015,0.056577947,0.064718268,0.067258878,0.066705416,0.065536764,0.064187602,0.062799278,0.061441161,0.060122478,0.058818084,0.05749487,0.056123132,0.054685981,0.053178688,0.051606817,0.049983513,0.048327221,0.046658966,0.045000792,0.043371323,0.041786204,0.04025883,0.038798612,0.037414712,0.036117024,0.034917048,0.03382622,0.03285444,0.032011041,0.031299841,0.030719448,0.030268262,0.029944652,0.029744045,0.029656824,0.029672873,0.029782464,0.029977164,0.030248806,0.030589227,0.030990263,0.031443748,0.031941518,0.03247544,0.033039418,0.033630665,0.034246693,0.034885015,0.035543145,0.036218595,0.036908877
